Hit,"Position (x, y) in cm",Timestamp (s)
1,"(15.16, 22.99)","(1.6428571428571428, 5)"
1,"(18.85, 19.55)","(3.0857142857142854, 5)"
1,"(15.66, 23.93)","(4.428571428571429, 5)"
1,"(17.74, 21.5)","(5.814285714285714, 5)"
1,"(15.0, 21.02)","(7.585714285714285, 5)"
1,"(21.66, 21.3)","(9.057142857142855, 5)"
1,"(14.6, 21.86)","(10.642857142857142, 5)"
1,"(18.38, 19.7)","(12.1, 5)"
1,"(13.73, 22.06)","(13.557142857142855, 5)"
1,"(16.52, 20.82)","(14.67142857142857, 5)"
1,"(13.62, 20.35)","(16.07142857142857, 5)"
1,"(22.35, 19.69)","(19.128571428571423, 5)"
1,"(12.94, 19.85)","(20.6, 5)"
1,"(13.63, 23.79)","(22.114285714285717, 5)"
