Hit,"Position (x, y) in cm",Timestamp (s)
1,"(182.13, 65.37)","(2.5428571428571427, 5)"
1,"(182.6, 65.21)","(4.428571428571429, 5)"
1,"(184.26, 63.71)","(6.457142857142857, 5)"
1,"(78.93, 5.57)","(6.5285714285714285, 5)"
1,"(185.06, 65.15)","(8.32857142857143, 5)"
1,"(21.73, 4.18)","(8.585714285714285, 5)"
1,"(48.75, 5.14)","(8.657142857142857, 5)"
1,"(181.87, 63.27)","(10.071428571428571, 5)"
1,"(108.81, 3.87)","(10.3, 5)"
1,"(186.95, 62.82)","(11.77142857142857, 5)"
1,"(184.19, 60.61)","(13.628571428571428, 5)"
1,"(49.55, 4.94)","(13.971428571428572, 5)"
1,"(181.6, 64.16)","(16.02857142857143, 5)"
1,"(178.54, 56.18)","(17.728571428571428, 5)"
1,"(183.62, 64.94)","(19.5, 5)"
1,"(177.76, 60.95)","(21.085714285714285, 5)"
1,"(50.73, 7.26)","(21.47142857142857, 5)"
1,"(179.93, 61.36)","(29.728571428571428, 5)"
