Hit,"Position (x, y) in cm",Timestamp (s)
1,"(56.0, 108.05)","(4.114285714285714, 5)"
1,"(62.24, 111.64)","(5.942857142857143, 5)"
1,"(79.01, 4.51)","(6.985714285714286, 5)"
1,"(77.99, 4.41)","(7.042857142857143, 5)"
1,"(64.07, 110.62)","(7.542857142857143, 5)"
1,"(78.34, 3.99)","(7.8428571428571425, 5)"
1,"(62.12, 99.11)","(9.071428571428571, 5)"
1,"(79.2, 4.13)","(10.128571428571428, 5)"
1,"(58.7, 103.97)","(11.185714285714283, 5)"
1,"(57.93, 110.74)","(13.414285714285716, 5)"
1,"(79.94, 4.41)","(13.928571428571429, 5)"
1,"(59.43, 108.56)","(14.757142857142856, 5)"
1,"(59.31, 105.48)","(16.614285714285714, 5)"
1,"(56.54, 104.66)","(18.057142857142857, 5)"
1,"(80.18, 3.89)","(18.4, 5)"
1,"(109.19, 4.19)","(19.4, 5)"
1,"(100.67, 59.08)","(19.67142857142857, 5)"
1,"(79.77, 4.57)","(20.2, 5)"
1,"(58.14, 108.92)","(21.142857142857142, 5)"
1,"(78.5, 4.16)","(22.3, 5)"
1,"(58.65, 106.5)","(23.757142857142856, 5)"
1,"(79.59, 4.01)","(24.757142857142856, 5)"
1,"(62.3, 105.14)","(25.814285714285717, 5)"
1,"(63.54, 102.96)","(27.7, 5)"
1,"(60.39, 104.97)","(29.7, 5)"
1,"(61.64, 106.93)","(31.77142857142857, 5)"
1,"(81.55, 4.2)","(32.528571428571425, 5)"
1,"(77.7, 4.09)","(33.15714285714286, 5)"
