Hit,"Position (x, y) in cm",Timestamp (s)
1,"(159.4, 20.9)","(9.27142857142857, 5)"
1,"(161.13, 21.09)","(19.285714285714285, 5)"
1,"(160.0, 21.62)","(26.3, 5)"
1,"(161.88, 22.19)","(33.82857142857143, 5)"
1,"(160.36, 21.76)","(40.0, 5)"
1,"(160.2, 22.29)","(46.285714285714285, 5)"
1,"(161.8, 21.5)","(56.957142857142856, 5)"
1,"(159.28, 21.41)","(62.42857142857142, 5)"
1,"(159.52, 21.27)","(68.52857142857142, 5)"
1,"(162.74, 22.02)","(81.77142857142857, 5)"
1,"(162.84, 21.5)","(86.94285714285714, 5)"
1,"(161.48, 21.29)","(91.41428571428573, 5)"
1,"(164.83, 21.66)","(103.97142857142858, 5)"
1,"(163.46, 21.95)","(108.94285714285714, 5)"
1,"(162.15, 21.99)","(113.58571428571427, 5)"
1,"(160.07, 20.54)","(121.81428571428572, 5)"
1,"(162.91, 21.11)","(138.54285714285714, 5)"
1,"(163.38, 21.91)","(143.7, 5)"
1,"(160.0, 21.8)","(148.12857142857143, 5)"
1,"(159.52, 21.84)","(152.5, 5)"
1,"(163.29, 21.77)","(158.35714285714286, 5)"
1,"(162.21, 22.27)","(170.37142857142857, 5)"
1,"(162.84, 22.27)","(174.87142857142857, 5)"
1,"(159.71, 21.52)","(179.62857142857143, 5)"
1,"(163.36, 21.99)","(184.6, 5)"
