Hit,"Position (x, y) in cm",Timestamp (s)
1,"(100.48, 63.97)","(5.257142857142857, 5)"
1,"(101.74, 61.85)","(10.014285714285714, 5)"
1,"(99.81, 63.15)","(14.7, 5)"
1,"(100.68, 64.4)","(19.114285714285717, 5)"
1,"(101.2, 65.08)","(23.942857142857143, 5)"
1,"(99.3, 63.03)","(29.357142857142858, 5)"
1,"(99.42, 64.95)","(34.385714285714286, 5)"
1,"(99.55, 62.6)","(39.05714285714286, 5)"
1,"(99.38, 64.55)","(43.44285714285714, 5)"
1,"(98.52, 63.8)","(47.614285714285714, 5)"
1,"(100.6, 64.71)","(52.12857142857143, 5)"
1,"(98.71, 64.89)","(56.21428571428572, 5)"
1,"(98.23, 62.76)","(60.15714285714286, 5)"
1,"(100.79, 63.17)","(65.3, 5)"
1,"(100.39, 63.84)","(69.82857142857142, 5)"
1,"(99.89, 64.96)","(73.71428571428571, 5)"
1,"(100.02, 62.22)","(77.27142857142857, 5)"
1,"(98.21, 62.63)","(81.02857142857142, 5)"
1,"(99.61, 62.19)","(84.57142857142857, 5)"
1,"(100.32, 63.86)","(88.28571428571428, 5)"
1,"(99.59, 61.96)","(92.71428571428572, 5)"
1,"(99.98, 63.21)","(96.81428571428572, 5)"
1,"(99.52, 62.2)","(101.98571428571428, 5)"
1,"(100.41, 64.73)","(106.58571428571427, 5)"
1,"(99.77, 62.82)","(110.57142857142856, 5)"
1,"(99.05, 61.88)","(114.42857142857144, 5)"
1,"(99.57, 64.82)","(118.12857142857142, 5)"
1,"(99.54, 62.53)","(122.04285714285714, 5)"
1,"(99.44, 63.23)","(125.31428571428572, 5)"
1,"(99.85, 63.31)","(129.88571428571427, 5)"
1,"(99.36, 64.67)","(133.7, 5)"
1,"(101.05, 64.36)","(137.5285714285714, 5)"
1,"(100.57, 63.93)","(141.38571428571427, 5)"
1,"(99.85, 61.92)","(144.97142857142856, 5)"
