Hit,"Position (x, y) in cm",Timestamp (s)
1,"(35.95, 104.26)","(8.557142857142857, 5)"
1,"(39.49, 103.6)","(15.242857142857142, 5)"
1,"(37.53, 103.83)","(20.32857142857143, 5)"
1,"(40.4, 103.24)","(25.614285714285717, 5)"
1,"(37.74, 103.38)","(30.38571428571429, 5)"
1,"(40.72, 102.62)","(36.91428571428571, 5)"
1,"(37.76, 104.32)","(41.8, 5)"
1,"(37.24, 103.9)","(46.885714285714286, 5)"
1,"(40.58, 102.18)","(52.87142857142857, 5)"
1,"(37.82, 102.82)","(58.07142857142857, 5)"
1,"(40.62, 102.99)","(64.21428571428571, 5)"
1,"(35.48, 104.56)","(69.52857142857142, 5)"
1,"(41.63, 100.91)","(74.52857142857142, 5)"
1,"(40.06, 101.47)","(79.02857142857142, 5)"
1,"(40.29, 103.21)","(84.18571428571428, 5)"
1,"(41.76, 100.88)","(88.54285714285714, 5)"
1,"(36.51, 104.02)","(94.1, 5)"
1,"(42.14, 100.74)","(98.8, 5)"
1,"(41.17, 101.75)","(103.62857142857142, 5)"
1,"(37.01, 103.82)","(107.97142857142858, 5)"
1,"(37.1, 102.58)","(117.64285714285714, 5)"
1,"(41.6, 101.91)","(121.75714285714284, 5)"
1,"(36.94, 104.22)","(126.15714285714286, 5)"
1,"(40.63, 102.92)","(131.17142857142858, 5)"
1,"(36.54, 104.21)","(135.7, 5)"
1,"(34.46, 104.59)","(141.5, 5)"
1,"(38.77, 103.8)","(146.45714285714286, 5)"
1,"(41.07, 101.7)","(150.81428571428572, 5)"
1,"(39.99, 102.63)","(155.79999999999998, 5)"
1,"(42.17, 100.86)","(160.31428571428572, 5)"
1,"(41.37, 101.76)","(164.42857142857142, 5)"
1,"(39.28, 103.38)","(168.84285714285713, 5)"
1,"(35.81, 104.98)","(173.57142857142856, 5)"
1,"(38.91, 103.85)","(178.24285714285713, 5)"
