Hit,"Position (x, y) in cm",Timestamp (s)
0,"(None, None)",3.59073
0,"(None, None)",3.63902
0,"(None, None)",3.70276
0,"(None, None)",3.76666
0,"(None, None)",3.82518
0,"(None, None)",3.88190
0,"(None, None)",3.93598
0,"(None, None)",3.99312
0,"(None, None)",4.04486
0,"(None, None)",4.10261
0,"(None, None)",4.16591
0,"(None, None)",4.23201
0,"(None, None)",4.29102
0,"(None, None)",4.35097
0,"(None, None)",4.40673
0,"(None, None)",4.47118
0,"(None, None)",4.53789
0,"(None, None)",4.59840
0,"(None, None)",4.66314
0,"(None, None)",4.71897
0,"(None, None)",4.78035
0,"(None, None)",4.83402
0,"(None, None)",4.89677
0,"(None, None)",4.94668
0,"(None, None)",5.00065
0,"(None, None)",5.05947
0,"(None, None)",5.12049
0,"(None, None)",5.18705
0,"(None, None)",5.24520
0,"(None, None)",5.31001
0,"(None, None)",5.36792
0,"(None, None)",5.43138
0,"(None, None)",5.48737
0,"(None, None)",5.54268
0,"(None, None)",5.59673
0,"(None, None)",5.64821
0,"(None, None)",5.70263
0,"(None, None)",5.75901
0,"(None, None)",5.80970
0,"(None, None)",5.87242
0,"(None, None)",5.93052
0,"(None, None)",5.99063
0,"(None, None)",6.05389
0,"(None, None)",6.11613
0,"(None, None)",6.17716
0,"(None, None)",6.24487
0,"(None, None)",6.30551
0,"(None, None)",6.37478
0,"(None, None)",6.43173
0,"(None, None)",6.48897
0,"(None, None)",6.55261
0,"(None, None)",6.62275
0,"(None, None)",6.68451
0,"(None, None)",6.74147
0,"(None, None)",6.80315
0,"(None, None)",6.86127
0,"(None, None)",6.92260
0,"(None, None)",6.97955
0,"(None, None)",7.03685
0,"(None, None)",7.08564
0,"(None, None)",7.13899
0,"(None, None)",7.20276
0,"(None, None)",7.26240
0,"(None, None)",7.32403
0,"(None, None)",7.38105
0,"(None, None)",7.43960
0,"(None, None)",7.49014
0,"(None, None)",7.54282
0,"(None, None)",7.60080
0,"(None, None)",7.66925
0,"(None, None)",7.72438
0,"(None, None)",7.77516
0,"(None, None)",7.83234
0,"(None, None)",7.89015
0,"(None, None)",7.94837
0,"(None, None)",8.00436
0,"(None, None)",8.05605
0,"(None, None)",8.11159
0,"(None, None)",8.17198
0,"(None, None)",8.22998
0,"(None, None)",8.29148
0,"(None, None)",8.35426
0,"(None, None)",8.41281
0,"(None, None)",8.46699
0,"(None, None)",8.52399
0,"(None, None)",8.57922
0,"(None, None)",8.63114
0,"(None, None)",8.68807
0,"(None, None)",8.73992
0,"(None, None)",8.79619
0,"(None, None)",8.85359
0,"(None, None)",8.90855
0,"(None, None)",8.96683
0,"(None, None)",9.01908
0,"(None, None)",9.07641
0,"(None, None)",9.13312
0,"(None, None)",9.19094
0,"(None, None)",9.25069
0,"(None, None)",9.30916
0,"(None, None)",9.36836
0,"(None, None)",9.42149
0,"(None, None)",9.47719
0,"(None, None)",9.53546
1,"(None, None)",9.59666
1,"(26.87000, 20.91000)",9.66400
1,"(None, None)",9.72412
0,"(None, None)",9.79801
0,"(None, None)",9.85906
0,"(None, None)",9.91306
0,"(None, None)",9.97120
0,"(None, None)",10.03035
0,"(None, None)",10.08963
0,"(None, None)",10.15006
0,"(None, None)",10.20812
0,"(None, None)",10.27076
0,"(None, None)",10.32383
0,"(None, None)",10.38602
0,"(None, None)",10.43723
0,"(None, None)",10.49693
0,"(None, None)",10.55551
0,"(None, None)",10.61209
0,"(None, None)",10.67233
0,"(None, None)",10.73397
0,"(None, None)",10.79649
0,"(None, None)",10.85619
0,"(None, None)",10.92030
0,"(None, None)",10.97010
0,"(None, None)",11.02583
0,"(None, None)",11.08263
0,"(None, None)",11.14254
0,"(None, None)",11.20268
0,"(None, None)",11.25839
0,"(None, None)",11.30655
0,"(None, None)",11.36602
0,"(None, None)",11.41972
0,"(None, None)",11.47568
0,"(None, None)",11.52587
0,"(None, None)",11.58292
0,"(None, None)",11.64033
0,"(None, None)",11.69793
0,"(None, None)",11.75755
0,"(None, None)",11.80605
0,"(None, None)",11.86449
0,"(None, None)",11.92348
0,"(None, None)",11.98330
0,"(None, None)",12.04108
0,"(None, None)",12.09874
0,"(None, None)",12.14954
0,"(None, None)",12.20466
0,"(None, None)",12.25994
0,"(None, None)",12.32508
0,"(None, None)",12.38422
0,"(None, None)",12.43870
0,"(None, None)",12.48643
0,"(None, None)",12.54198
0,"(None, None)",12.59898
0,"(None, None)",12.65839
0,"(None, None)",12.71011
0,"(None, None)",12.76762
1,"(None, None)",12.82595
1,"(12.66000, 26.81000)",12.88674
1,"(None, None)",12.93991
0,"(None, None)",12.99492
0,"(None, None)",13.04699
0,"(None, None)",13.10658
0,"(None, None)",13.15874
0,"(None, None)",13.21149
0,"(None, None)",13.26893
0,"(None, None)",13.33011
0,"(None, None)",13.38624
0,"(None, None)",13.44941
0,"(None, None)",13.50488
0,"(None, None)",13.56118
0,"(None, None)",13.62187
0,"(None, None)",13.67628
0,"(None, None)",13.73325
0,"(None, None)",13.79145
0,"(None, None)",13.85125
0,"(None, None)",13.90770
0,"(None, None)",13.96639
0,"(None, None)",14.02035
0,"(None, None)",14.07454
0,"(None, None)",14.13175
0,"(None, None)",14.18609
0,"(None, None)",14.24642
0,"(None, None)",14.29908
0,"(None, None)",14.36356
0,"(None, None)",14.41294
0,"(None, None)",14.47384
0,"(None, None)",14.53234
0,"(None, None)",14.60187
0,"(None, None)",14.66034
0,"(None, None)",14.72658
0,"(None, None)",14.78661
0,"(None, None)",14.84394
0,"(None, None)",14.90465
0,"(None, None)",14.96424
0,"(None, None)",15.03053
0,"(None, None)",15.09782
0,"(None, None)",15.15336
0,"(None, None)",15.21714
0,"(None, None)",15.27288
0,"(None, None)",15.33748
0,"(None, None)",15.39493
0,"(None, None)",15.45486
0,"(None, None)",15.50763
0,"(None, None)",15.56192
0,"(None, None)",15.61963
0,"(None, None)",15.67197
0,"(None, None)",15.72897
0,"(None, None)",15.79082
0,"(None, None)",15.84882
0,"(None, None)",15.91299
0,"(None, None)",15.96802
0,"(None, None)",16.03198
0,"(None, None)",16.09108
0,"(None, None)",16.14461
0,"(None, None)",16.20179
0,"(None, None)",16.25694
0,"(None, None)",16.31595
0,"(None, None)",16.36277
0,"(None, None)",16.41796
0,"(None, None)",16.47073
0,"(None, None)",16.53053
0,"(None, None)",16.58250
0,"(None, None)",16.63700
0,"(None, None)",16.69819
0,"(None, None)",16.75729
0,"(None, None)",16.81891
0,"(None, None)",16.87420
0,"(None, None)",16.92547
0,"(None, None)",16.98028
0,"(None, None)",17.03439
0,"(None, None)",17.09655
0,"(None, None)",17.16346
0,"(None, None)",17.22418
0,"(None, None)",17.29414
0,"(None, None)",17.35213
0,"(None, None)",17.41359
0,"(None, None)",17.46996
0,"(None, None)",17.52489
0,"(None, None)",17.58431
0,"(None, None)",17.64167
0,"(None, None)",17.69644
0,"(None, None)",17.75032
1,"(None, None)",17.81652
1,"(12.81000, 11.81000)",17.88133
1,"(None, None)",17.93948
0,"(None, None)",17.99452
0,"(None, None)",18.05389
0,"(None, None)",18.11064
0,"(None, None)",18.16023
0,"(None, None)",18.21724
0,"(None, None)",18.28150
0,"(None, None)",18.33663
0,"(None, None)",18.39541
0,"(None, None)",18.45136
0,"(None, None)",18.50725
0,"(None, None)",18.56110
0,"(None, None)",18.61964
0,"(None, None)",18.67455
0,"(None, None)",18.73744
0,"(None, None)",18.78797
0,"(None, None)",18.84645
0,"(None, None)",18.90317
0,"(None, None)",18.95639
0,"(None, None)",19.02049
0,"(None, None)",19.07673
0,"(None, None)",19.13842
0,"(None, None)",19.19428
0,"(None, None)",19.25419
0,"(None, None)",19.31559
0,"(None, None)",19.37592
0,"(None, None)",19.42737
0,"(None, None)",19.48283
0,"(None, None)",19.53696
0,"(None, None)",19.59501
0,"(None, None)",19.65594
0,"(None, None)",19.71187
0,"(None, None)",19.76644
0,"(None, None)",19.81514
0,"(None, None)",19.87465
0,"(None, None)",19.93166
0,"(None, None)",19.99198
0,"(None, None)",20.05537
0,"(None, None)",20.11449
0,"(None, None)",20.16968
0,"(None, None)",20.23558
0,"(None, None)",20.28618
0,"(None, None)",20.35167
0,"(None, None)",20.41044
0,"(None, None)",20.47333
0,"(None, None)",20.54149
0,"(None, None)",20.60061
0,"(None, None)",20.65667
0,"(None, None)",20.71960
0,"(None, None)",20.78412
0,"(None, None)",20.84441
0,"(None, None)",20.91152
0,"(None, None)",20.96688
0,"(None, None)",21.02146
0,"(None, None)",21.08069
0,"(None, None)",21.13582
0,"(None, None)",21.19031
0,"(None, None)",21.24154
0,"(None, None)",21.30207
0,"(None, None)",21.35926
0,"(None, None)",21.42089
0,"(None, None)",21.47648
0,"(None, None)",21.53063
0,"(None, None)",21.59303
0,"(None, None)",21.65172
0,"(None, None)",21.71304
0,"(None, None)",21.77152
0,"(None, None)",21.83119
0,"(None, None)",21.89057
0,"(None, None)",21.94298
0,"(None, None)",22.00241
0,"(None, None)",22.05933
0,"(None, None)",22.11852
0,"(None, None)",22.18290
0,"(None, None)",22.23954
0,"(None, None)",22.30656
0,"(None, None)",22.36395
0,"(None, None)",22.42550
0,"(None, None)",22.48363
