Hit,"Position (x, y) in cm",Timestamp (s)
1,"(93.28, 26.62)","(5.880382537841797, 5)"
1,"(98.59, 27.19)","(6.241385459899902, 5)"
1,"(102.19, 28.12)","(7.8410563468933105, 5)"
1,"(97.66, 29.44)","(9.660328388214111, 5)"
1,"(100.86, 18.56)","(11.599123001098633, 5)"
1,"(98.59, 27.19)","(13.348227739334106, 5)"
1,"(100.47, 26.44)","(15.174606561660768, 5)"
1,"(111.72, 44.25)","(15.603480100631714, 5)"
1,"(100.94, 19.03)","(21.07034158706665, 5)"
1,"(96.17, 29.44)","(22.723238706588745, 5)"
1,"(100.94, 25.41)","(24.55075192451477, 5)"
1,"(117.27, 51.56)","(28.523594617843628, 5)"
