Hit,"Position (x, y) in cm",Timestamp (s)
0,"(None, None)",3.651042938232422
0,"(None, None)",3.699732542037964
0,"(None, None)",3.750621795654297
0,"(None, None)",3.8042590618133545
0,"(None, None)",3.86342716217041
0,"(None, None)",3.9178032875061035
0,"(None, None)",3.971604585647583
0,"(None, None)",4.033003091812134
0,"(None, None)",4.089216232299805
0,"(None, None)",4.140140771865845
0,"(None, None)",4.196096897125244
0,"(None, None)",4.259888172149658
0,"(None, None)",4.317637205123901
0,"(None, None)",4.378758192062378
0,"(None, None)",4.438811779022217
0,"(None, None)",4.4992289543151855
0,"(None, None)",4.557676076889038
0,"(None, None)",4.617552995681763
0,"(None, None)",4.67906641960144
0,"(None, None)",4.729322671890259
0,"(None, None)",4.783871173858643
0,"(None, None)",4.844552040100098
0,"(None, None)",4.904621839523315
0,"(None, None)",4.955649375915527
0,"(None, None)",5.012034177780151
0,"(None, None)",5.068361043930054
0,"(None, None)",5.128344297409058
0,"(None, None)",5.189736366271973
0,"(None, None)",5.249024391174316
0,"(None, None)",5.317574977874756
0,"(None, None)",5.372750520706177
0,"(None, None)",5.436493158340454
0,"(None, None)",5.500767707824707
0,"(None, None)",5.565892457962036
0,"(None, None)",5.6340248584747314
0,"(None, None)",5.6947572231292725
0,"(None, None)",5.755565404891968
0,"(None, None)",5.816968202590942
1,"(93.28, 26.62)",5.880382537841797
0,"(None, None)",5.9372031688690186
0,"(None, None)",5.998464822769165
0,"(None, None)",6.061682939529419
0,"(None, None)",6.123903036117554
0,"(None, None)",6.179712533950806
1,"(98.59, 27.19)",6.241385459899902
0,"(None, None)",6.295343637466431
0,"(None, None)",6.348855972290039
0,"(None, None)",6.404955625534058
0,"(None, None)",6.467644214630127
0,"(None, None)",6.521070241928101
0,"(None, None)",6.581151247024536
0,"(None, None)",6.634822368621826
0,"(None, None)",6.695533990859985
0,"(None, None)",6.762014627456665
0,"(None, None)",6.8161444664001465
0,"(None, None)",6.867747068405151
0,"(None, None)",6.923708915710449
0,"(None, None)",6.98363471031189
0,"(None, None)",7.036669492721558
0,"(None, None)",7.086318016052246
0,"(None, None)",7.142723083496094
0,"(None, None)",7.206224679946899
0,"(None, None)",7.262979745864868
0,"(None, None)",7.324578285217285
0,"(None, None)",7.380097389221191
0,"(None, None)",7.439780950546265
0,"(None, None)",7.494598627090454
0,"(None, None)",7.552760124206543
0,"(None, None)",7.616719007492065
0,"(None, None)",7.671570539474487
0,"(None, None)",7.725964784622192
0,"(None, None)",7.784831285476685
1,"(102.19, 28.12)",7.8410563468933105
0,"(None, None)",7.898154973983765
0,"(None, None)",7.946187496185303
0,"(None, None)",7.998873472213745
0,"(None, None)",8.055229187011719
0,"(None, None)",8.11442518234253
0,"(None, None)",8.170109748840332
0,"(None, None)",8.223608493804932
0,"(None, None)",8.286222696304321
0,"(None, None)",8.345980167388916
0,"(None, None)",8.405068159103394
0,"(None, None)",8.469833374023438
0,"(None, None)",8.525441408157349
0,"(None, None)",8.588836193084717
0,"(None, None)",8.651642560958862
0,"(None, None)",8.708736181259155
0,"(None, None)",8.764697551727295
0,"(None, None)",8.8135666847229
0,"(None, None)",8.869884967803955
0,"(None, None)",8.927149534225464
0,"(None, None)",8.977492332458496
0,"(None, None)",9.031013488769531
0,"(None, None)",9.092811346054077
0,"(None, None)",9.150886297225952
0,"(None, None)",9.211500644683838
0,"(None, None)",9.265661716461182
0,"(None, None)",9.326059818267822
0,"(None, None)",9.378254890441895
0,"(None, None)",9.43398380279541
0,"(None, None)",9.48991060256958
0,"(None, None)",9.551605463027954
0,"(None, None)",9.604624509811401
1,"(97.66, 29.44)",9.660328388214111
0,"(None, None)",9.719242095947266
0,"(None, None)",9.775249242782593
0,"(None, None)",9.834366083145142
0,"(None, None)",9.884644985198975
0,"(None, None)",9.936326742172241
0,"(None, None)",9.983669757843018
0,"(None, None)",10.034103631973267
0,"(None, None)",10.08212685585022
0,"(None, None)",10.133005619049072
0,"(None, None)",10.185165643692017
0,"(None, None)",10.234355926513672
0,"(None, None)",10.282109260559082
0,"(None, None)",10.332530498504639
0,"(None, None)",10.385044574737549
0,"(None, None)",10.430098295211792
0,"(None, None)",10.475209474563599
0,"(None, None)",10.523452758789062
0,"(None, None)",10.575853109359741
0,"(None, None)",10.626646041870117
0,"(None, None)",10.672712326049805
0,"(None, None)",10.722020149230957
0,"(None, None)",10.772361278533936
0,"(None, None)",10.835044622421265
0,"(None, None)",10.894291400909424
0,"(None, None)",10.956482410430908
0,"(None, None)",11.026458024978638
0,"(None, None)",11.082340002059937
0,"(None, None)",11.142848253250122
0,"(None, None)",11.200859308242798
0,"(None, None)",11.26223087310791
0,"(None, None)",11.320414543151855
0,"(None, None)",11.373637199401855
0,"(None, None)",11.432746171951294
0,"(None, None)",11.482312202453613
0,"(None, None)",11.536975860595703
1,"(100.86, 18.56)",11.599123001098633
0,"(None, None)",11.661500453948975
0,"(None, None)",11.72922682762146
0,"(None, None)",11.78598928451538
0,"(None, None)",11.850604057312012
0,"(None, None)",11.904566049575806
0,"(None, None)",11.955299615859985
0,"(None, None)",12.008410453796387
0,"(None, None)",12.065494537353516
0,"(None, None)",12.127367496490479
0,"(None, None)",12.183170080184937
0,"(None, None)",12.246464490890503
0,"(None, None)",12.297854661941528
0,"(None, None)",12.35603404045105
0,"(None, None)",12.412965059280396
0,"(None, None)",12.475527286529541
0,"(None, None)",12.537308931350708
0,"(None, None)",12.599855899810791
0,"(None, None)",12.6546790599823
0,"(None, None)",12.712975263595581
0,"(None, None)",12.765620708465576
0,"(None, None)",12.822420597076416
0,"(None, None)",12.885055303573608
0,"(None, None)",12.944186687469482
0,"(None, None)",13.00191855430603
0,"(None, None)",13.062464952468872
0,"(None, None)",13.121765375137329
0,"(None, None)",13.182116985321045
0,"(None, None)",13.239750862121582
0,"(None, None)",13.296953916549683
1,"(98.59, 27.19)",13.348227739334106
0,"(None, None)",13.410067319869995
0,"(None, None)",13.468921661376953
0,"(None, None)",13.526073455810547
0,"(None, None)",13.588835000991821
0,"(None, None)",13.647038459777832
0,"(None, None)",13.714182615280151
0,"(None, None)",13.77004623413086
0,"(None, None)",13.833237886428833
