Hit,"Position (x, y) in cm",Timestamp (s)
1,"(97.19, 67.55)","(6.632569074630737, 5)"
1,"(98.75, 66.05)","(9.805563926696776, 5)"
1,"(87.66, 65.44)","(13.496436834335327, 5)"
1,"(99.45, 60.23)","(15.307869672775269, 5)"
1,"(97.5, 66.38)","(17.68509602546692, 5)"
1,"(100.47, 63.33)","(19.37936305999756, 5)"
1,"(96.64, 66.98)","(21.61631965637207, 5)"
1,"(100.39, 66.47)","(23.43647289276123, 5)"
1,"(96.02, 66.75)","(25.89825224876404, 5)"
1,"(93.59, 65.62)","(27.65450143814087, 5)"
1,"(101.48, 64.69)","(29.163825273513797, 5)"
1,"(91.09, 70.31)","(30.878511667251587, 5)"
1,"(98.36, 65.91)","(32.653289556503296, 5)"
