Hit,"Position (x, y) in cm",Timestamp (s)
0,"(None, None)",3.58680
0,"(None, None)",3.63375
0,"(None, None)",3.69447
0,"(None, None)",3.75689
0,"(None, None)",3.82731
0,"(None, None)",3.88487
0,"(None, None)",3.94009
0,"(None, None)",3.99407
0,"(None, None)",4.04695
0,"(None, None)",4.09932
0,"(None, None)",4.15174
0,"(None, None)",4.21114
0,"(None, None)",4.27651
0,"(None, None)",4.33564
0,"(None, None)",4.40019
0,"(None, None)",4.46603
0,"(None, None)",4.52242
0,"(None, None)",4.58619
0,"(None, None)",4.65226
0,"(None, None)",4.71163
0,"(None, None)",4.78114
0,"(None, None)",4.83839
0,"(None, None)",4.89994
0,"(None, None)",4.95735
0,"(None, None)",5.01778
0,"(None, None)",5.07636
0,"(None, None)",5.13524
0,"(None, None)",5.18253
0,"(None, None)",5.24210
0,"(None, None)",5.30169
0,"(None, None)",5.36291
0,"(None, None)",5.42607
0,"(None, None)",5.48226
0,"(None, None)",5.53751
0,"(None, None)",5.59521
0,"(None, None)",5.65016
0,"(None, None)",5.70591
0,"(None, None)",5.76801
0,"(None, None)",5.83219
0,"(None, None)",5.89870
0,"(None, None)",5.96160
0,"(None, None)",6.02654
0,"(None, None)",6.08670
0,"(None, None)",6.15185
0,"(None, None)",6.20824
0,"(None, None)",6.26678
0,"(None, None)",6.33052
0,"(None, None)",6.39209
0,"(None, None)",6.44813
0,"(None, None)",6.50767
1,"(None, None)",6.56690
1,"(97.19000, 67.55000)",6.63257
1,"(None, None)",6.68260
0,"(None, None)",6.74769
0,"(None, None)",6.80570
0,"(None, None)",6.86837
0,"(None, None)",6.92452
0,"(None, None)",6.98440
0,"(None, None)",7.04281
0,"(None, None)",7.10561
0,"(None, None)",7.16663
0,"(None, None)",7.22601
0,"(None, None)",7.29521
0,"(None, None)",7.34757
0,"(None, None)",7.40777
0,"(None, None)",7.47072
0,"(None, None)",7.52981
0,"(None, None)",7.59523
0,"(None, None)",7.65583
0,"(None, None)",7.71399
0,"(None, None)",7.76840
0,"(None, None)",7.83093
0,"(None, None)",7.89161
0,"(None, None)",7.94905
0,"(None, None)",8.01084
0,"(None, None)",8.06042
0,"(None, None)",8.12114
0,"(None, None)",8.18334
0,"(None, None)",8.24193
0,"(None, None)",8.30674
0,"(None, None)",8.36432
