Hit,"Position (x, y) in cm",Timestamp (s)
0,"(None, None)",3.58697
0,"(None, None)",3.63879
0,"(None, None)",3.69898
0,"(None, None)",3.76013
0,"(None, None)",3.81334
0,"(None, None)",3.87941
0,"(None, None)",3.93817
0,"(None, None)",3.99778
0,"(None, None)",4.05384
0,"(None, None)",4.11218
0,"(None, None)",4.16291
0,"(None, None)",4.21848
0,"(None, None)",4.28326
0,"(None, None)",4.34435
0,"(None, None)",4.40932
0,"(None, None)",4.47241
0,"(None, None)",4.53420
0,"(None, None)",4.59289
0,"(None, None)",4.65068
0,"(None, None)",4.71003
0,"(None, None)",4.76687
0,"(None, None)",4.82691
0,"(None, None)",4.88341
0,"(None, None)",4.93579
0,"(None, None)",5.00026
0,"(None, None)",5.05965
0,"(None, None)",5.13406
0,"(None, None)",5.18535
0,"(None, None)",5.24653
0,"(None, None)",5.31914
0,"(None, None)",5.37610
0,"(None, None)",5.44059
0,"(None, None)",5.50353
0,"(None, None)",5.57380
0,"(None, None)",5.62870
0,"(None, None)",5.68901
0,"(None, None)",5.74227
0,"(None, None)",5.79594
1,"(None, None)",5.85059
1,"(15.00000, 102.23000)",5.90798
1,"(None, None)",5.97128
0,"(None, None)",6.02780
0,"(None, None)",6.08986
0,"(None, None)",6.15099
0,"(None, None)",6.21507
0,"(None, None)",6.27617
0,"(None, None)",6.34167
0,"(None, None)",6.40999
0,"(None, None)",6.47478
0,"(None, None)",6.54549
0,"(None, None)",6.60373
0,"(None, None)",6.65669
0,"(None, None)",6.71157
0,"(None, None)",6.77054
0,"(None, None)",6.83145
0,"(None, None)",6.89209
0,"(None, None)",6.95675
0,"(None, None)",7.01648
0,"(None, None)",7.06926
0,"(None, None)",7.12490
0,"(None, None)",7.17809
0,"(None, None)",7.23489
0,"(None, None)",7.30007
0,"(None, None)",7.35271
0,"(None, None)",7.40867
0,"(None, None)",7.46347
0,"(None, None)",7.52423
0,"(None, None)",7.58810
0,"(None, None)",7.65015
0,"(None, None)",7.71252
0,"(None, None)",7.77486
0,"(None, None)",7.83777
0,"(None, None)",7.89125
0,"(None, None)",7.95119
0,"(None, None)",8.00153
0,"(None, None)",8.05722
0,"(None, None)",8.11090
0,"(None, None)",8.16843
0,"(None, None)",8.22124
0,"(None, None)",8.28203
0,"(None, None)",8.33425
0,"(None, None)",8.38892
0,"(None, None)",8.44873
0,"(None, None)",8.51060
0,"(None, None)",8.57049
0,"(None, None)",8.63262
0,"(None, None)",8.69651
0,"(None, None)",8.76153
0,"(None, None)",8.82429
0,"(None, None)",8.88675
0,"(None, None)",8.94965
0,"(None, None)",9.01132
0,"(None, None)",9.06737
0,"(None, None)",9.12963
0,"(None, None)",9.19024
0,"(None, None)",9.24728
0,"(None, None)",9.30160
0,"(None, None)",9.36054
0,"(None, None)",9.42373
0,"(None, None)",9.48793
0,"(None, None)",9.55399
0,"(None, None)",9.61373
0,"(None, None)",9.66995
0,"(None, None)",9.72887
0,"(None, None)",9.78007
0,"(None, None)",9.83846
0,"(None, None)",9.89400
0,"(None, None)",9.94919
0,"(None, None)",10.01619
0,"(None, None)",10.07195
0,"(None, None)",10.13466
0,"(None, None)",10.19440
0,"(None, None)",10.25365
0,"(None, None)",10.31440
0,"(None, None)",10.37785
0,"(None, None)",10.43784
0,"(None, None)",10.49386
0,"(None, None)",10.55031
0,"(None, None)",10.60827
0,"(None, None)",10.66764
0,"(None, None)",10.72187
0,"(None, None)",10.77842
0,"(None, None)",10.82941
0,"(None, None)",10.88649
0,"(None, None)",10.94732
0,"(None, None)",11.00900
0,"(None, None)",11.07012
0,"(None, None)",11.12603
0,"(None, None)",11.18284
0,"(None, None)",11.23708
0,"(None, None)",11.29505
0,"(None, None)",11.35492
0,"(None, None)",11.40979
0,"(None, None)",11.47509
0,"(None, None)",11.53732
0,"(None, None)",11.60338
0,"(None, None)",11.67081
0,"(None, None)",11.72876
0,"(None, None)",11.79001
0,"(None, None)",11.85021
0,"(None, None)",11.91102
0,"(None, None)",11.96575
0,"(None, None)",12.02114
0,"(None, None)",12.07782
0,"(None, None)",12.12844
0,"(None, None)",12.18046
0,"(None, None)",12.23775
0,"(None, None)",12.29534
0,"(None, None)",12.34158
0,"(None, None)",12.39192
0,"(None, None)",12.44173
0,"(None, None)",12.49468
0,"(None, None)",12.54681
0,"(None, None)",12.59506
0,"(None, None)",12.64872
0,"(None, None)",12.70148
0,"(None, None)",12.74904
0,"(None, None)",12.80330
0,"(None, None)",12.85479
0,"(None, None)",12.90209
0,"(None, None)",12.95149
0,"(None, None)",12.99885
0,"(None, None)",13.05028
0,"(None, None)",13.09635
0,"(None, None)",13.14641
0,"(None, None)",13.19795
0,"(None, None)",13.24816
0,"(None, None)",13.30104
0,"(None, None)",13.35785
0,"(None, None)",13.42106
0,"(None, None)",13.48184
0,"(None, None)",13.53658
0,"(None, None)",13.59670
0,"(None, None)",13.64464
0,"(None, None)",13.70578
0,"(None, None)",13.76019
0,"(None, None)",13.82815
0,"(None, None)",13.89091
0,"(None, None)",13.95928
0,"(None, None)",14.01730
0,"(None, None)",14.07753
0,"(None, None)",14.13980
0,"(None, None)",14.20353
0,"(None, None)",14.26292
0,"(None, None)",14.32252
0,"(None, None)",14.38473
0,"(None, None)",14.44570
0,"(None, None)",14.50710
1,"(None, None)",14.56601
1,"(18.12000, 103.50000)",14.63461
1,"(None, None)",14.69760
0,"(None, None)",14.76452
0,"(None, None)",14.82307
0,"(None, None)",14.89006
0,"(None, None)",14.95901
0,"(None, None)",15.01794
0,"(None, None)",15.07183
0,"(None, None)",15.12676
0,"(None, None)",15.18209
0,"(None, None)",15.24601
0,"(None, None)",15.30394
0,"(None, None)",15.35888
0,"(None, None)",15.41618
0,"(None, None)",15.46916
0,"(None, None)",15.52535
0,"(None, None)",15.58450
0,"(None, None)",15.64303
0,"(None, None)",15.70811
0,"(None, None)",15.76895
0,"(None, None)",15.83142
0,"(None, None)",15.88258
0,"(None, None)",15.94265
0,"(None, None)",15.99385
0,"(None, None)",16.05301
0,"(None, None)",16.11864
0,"(None, None)",16.19130
0,"(None, None)",16.24544
0,"(None, None)",16.31041
0,"(None, None)",16.37032
0,"(None, None)",16.43146
0,"(None, None)",16.48882
0,"(None, None)",16.54738
0,"(None, None)",16.60962
0,"(None, None)",16.66639
0,"(None, None)",16.72529
0,"(None, None)",16.79460
0,"(None, None)",16.86028
0,"(None, None)",16.91231
0,"(None, None)",16.97551
0,"(None, None)",17.03711
0,"(None, None)",17.09433
0,"(None, None)",17.15438
0,"(None, None)",17.20390
0,"(None, None)",17.26364
0,"(None, None)",17.32971
0,"(None, None)",17.38996
0,"(None, None)",17.45690
0,"(None, None)",17.51657
0,"(None, None)",17.57937
0,"(None, None)",17.64232
0,"(None, None)",17.70569
0,"(None, None)",17.76897
0,"(None, None)",17.83002
0,"(None, None)",17.88779
0,"(None, None)",17.94154
0,"(None, None)",18.01109
0,"(None, None)",18.07042
0,"(None, None)",18.13506
0,"(None, None)",18.19659
