epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.791,3.60875,6.85227,1.46551,0.36144,0.38,0.23066,0.05525,2.93653,3.30102,1.18383,0.00331579,0.00331579,0.00331579
2,177.982,2.82063,2.71725,1.13027,0.26873,0.25333,0.11755,0.02416,3.38898,2.80886,1.37944,0.00664254,0.00664254,0.00664254
3,256.947,2.80196,2.19388,1.12928,0.43957,0.39333,0.28588,0.06672,2.94552,2.17864,1.21131,0.00996269,0.00996269,0.00996269
4,334.44,2.79393,1.90982,1.13425,0.46445,0.44667,0.3624,0.09854,2.45204,2.06548,1.05902,0.0099703,0.0099703,0.0099703
5,411.843,2.73861,1.72283,1.12456,0.6685,0.7,0.71092,0.18772,2.61128,1.23096,1.09761,0.0099604,0.0099604,0.0099604
6,489.163,2.62517,1.59337,1.09917,0.76647,0.78771,0.75549,0.23816,2.38021,1.12328,1.04573,0.0099505,0.0099505,0.0099505
7,566.629,2.60154,1.51868,1.08905,0.63529,0.66,0.58015,0.16282,2.44165,1.27175,1.0616,0.0099406,0.0099406,0.0099406
8,644.25,2.56359,1.50251,1.0868,0.58689,0.57333,0.56741,0.17306,2.44015,1.29825,1.05266,0.0099307,0.0099307,0.0099307
9,721.334,2.55955,1.47026,1.08603,0.88256,0.84,0.82645,0.22942,2.4825,1.20676,1.06601,0.0099208,0.0099208,0.0099208
10,798.669,2.56135,1.45282,1.07321,0.72259,0.70667,0.70516,0.21792,2.43781,1.19317,1.04405,0.0099109,0.0099109,0.0099109
11,875.977,2.49183,1.40423,1.06891,0.58635,0.62667,0.55057,0.1635,2.47228,1.30494,1.06377,0.009901,0.009901,0.009901
12,953.074,2.5145,1.40154,1.07369,0.77319,0.77333,0.75897,0.21973,2.45325,1.21158,1.05469,0.0098911,0.0098911,0.0098911
13,1030.29,2.46863,1.36201,1.06115,0.79177,0.74667,0.72729,0.2287,2.3338,1.18287,1.02754,0.0098812,0.0098812,0.0098812
14,1107.76,2.46406,1.33781,1.05169,0.76698,0.68,0.69789,0.19692,2.53947,1.23692,1.07659,0.0098713,0.0098713,0.0098713
15,1185.05,2.46558,1.35817,1.05596,0.85827,0.77333,0.81095,0.2485,2.4099,1.17615,1.04657,0.0098614,0.0098614,0.0098614
16,1262.38,2.42646,1.33077,1.05414,0.7419,0.72,0.70926,0.21837,2.27328,1.20737,1.02199,0.0098515,0.0098515,0.0098515
17,1339.84,2.42658,1.30041,1.03541,0.73116,0.72527,0.71047,0.21006,2.30065,1.17155,1.01884,0.0098416,0.0098416,0.0098416
18,1417.08,2.41304,1.32879,1.05141,0.77691,0.76617,0.72502,0.21178,2.35486,1.16884,1.02622,0.0098317,0.0098317,0.0098317
19,1495.63,2.4007,1.28751,1.04169,0.69655,0.65803,0.60726,0.1938,2.36238,1.18684,1.02822,0.0098218,0.0098218,0.0098218
20,1577.32,2.39869,1.28564,1.04259,0.8744,0.82667,0.83767,0.26584,2.34191,1.08485,1.03604,0.0098119,0.0098119,0.0098119
21,1657,2.39456,1.2924,1.04573,0.79619,0.78667,0.79127,0.23947,2.38142,1.10432,1.03136,0.009802,0.009802,0.009802
22,1736.47,2.39319,1.27455,1.03968,0.70299,0.8,0.74999,0.22016,2.3395,1.17688,1.02407,0.0097921,0.0097921,0.0097921
23,1815.95,2.40237,1.26271,1.04231,0.68202,0.65333,0.63052,0.20253,2.38798,1.2229,1.03631,0.0097822,0.0097822,0.0097822
24,1895.21,2.34571,1.25748,1.03656,0.84232,0.8,0.79308,0.24902,2.34724,1.08025,1.03078,0.0097723,0.0097723,0.0097723
25,1974.38,2.35571,1.25043,1.03183,0.81479,0.82667,0.8051,0.25893,2.3296,1.11992,1.03034,0.0097624,0.0097624,0.0097624
26,2053.68,2.36443,1.22537,1.03865,0.7988,0.79333,0.74056,0.23903,2.33654,1.10543,1.0243,0.0097525,0.0097525,0.0097525
27,2132.94,2.36361,1.24706,1.02661,0.87322,0.82653,0.84639,0.26973,2.32062,1.05883,1.01293,0.0097426,0.0097426,0.0097426
28,2212.21,2.3408,1.23956,1.03429,0.84903,0.75333,0.80984,0.26217,2.27753,1.10559,1.00986,0.0097327,0.0097327,0.0097327
29,2291.46,2.35784,1.2427,1.03241,0.72488,0.68504,0.68108,0.22019,2.3704,1.23827,1.03347,0.0097228,0.0097228,0.0097228
30,2370.6,2.30648,1.24783,1.02849,0.8441,0.78667,0.79314,0.26338,2.27939,1.05832,1.01574,0.0097129,0.0097129,0.0097129
31,2449.56,2.33036,1.21181,1.0229,0.78459,0.75275,0.72811,0.22809,2.41989,1.13182,1.04198,0.009703,0.009703,0.009703
32,2528.78,2.30203,1.21378,1.01749,0.86694,0.84667,0.81138,0.26036,2.31121,1.08753,1.02546,0.0096931,0.0096931,0.0096931
33,2607.9,2.31285,1.22728,1.0195,0.77124,0.74667,0.68223,0.2159,2.36587,1.18641,1.03838,0.0096832,0.0096832,0.0096832
34,2687.13,2.32694,1.20565,1.04319,0.75751,0.75333,0.71472,0.219,2.35668,1.15109,1.02858,0.0096733,0.0096733,0.0096733
35,2766.59,2.29819,1.18151,1.02645,0.83754,0.82667,0.79964,0.2615,2.3518,1.07819,1.03085,0.0096634,0.0096634,0.0096634
