epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.129,3.45679,8.66216,1.38654,0.42844,0.44938,0.36463,0.10443,2.72633,3.00832,1.14953,0.00332071,0.00332071,0.00332071
2,217.774,2.85291,2.87314,1.12872,0.6309,0.06914,0.16186,0.05217,2.76903,3.8276,1.15177,0.00664745,0.00664745,0.00664745
3,325.062,2.85289,2.19202,1.15089,0.33375,0.43951,0.30654,0.06908,2.84185,1.96573,1.20536,0.0099676,0.0099676,0.0099676
4,432.153,2.86423,2.01636,1.15689,0.43813,0.58519,0.47584,0.14259,2.65534,1.69945,1.13959,0.0099703,0.0099703,0.0099703
5,539.15,2.75309,1.85511,1.11769,0.52265,0.54815,0.49399,0.14065,2.56963,1.62814,1.11602,0.0099604,0.0099604,0.0099604
6,646.034,2.67409,1.71045,1.10677,0.30529,0.48067,0.24192,0.0653,2.92129,1.90775,1.17516,0.0099505,0.0099505,0.0099505
7,752.658,2.648,1.69319,1.12684,0.56645,0.49136,0.48218,0.13842,2.50178,1.77985,1.07787,0.0099406,0.0099406,0.0099406
8,859.649,2.6563,1.61588,1.09108,0.40689,0.498,0.38626,0.10242,2.68156,1.47763,1.13749,0.0099307,0.0099307,0.0099307
9,966.569,2.59379,1.59241,1.08365,0.70469,0.52593,0.58348,0.1725,2.58553,1.55739,1.10034,0.0099208,0.0099208,0.0099208
10,1073.28,2.55347,1.56938,1.06579,0.692,0.61975,0.65812,0.20049,2.54941,1.34097,1.1049,0.0099109,0.0099109,0.0099109
11,1180.07,2.49715,1.48984,1.0663,0.82243,0.76296,0.80291,0.24186,2.38389,1.12614,1.05646,0.009901,0.009901,0.009901
12,1286.91,2.48352,1.42826,1.05861,0.79843,0.72375,0.7235,0.21527,2.51621,1.22767,1.09125,0.0098911,0.0098911,0.0098911
13,1393.64,2.50505,1.4412,1.05784,0.71069,0.63951,0.67515,0.1934,2.42972,1.26147,1.06361,0.0098812,0.0098812,0.0098812
14,1500.28,2.47105,1.38373,1.05572,0.78777,0.75802,0.77551,0.23402,2.38569,1.13474,1.0514,0.0098713,0.0098713,0.0098713
15,1606.99,2.43613,1.39858,1.04765,0.45806,0.63704,0.48329,0.13221,2.66494,1.44811,1.1113,0.0098614,0.0098614,0.0098614
16,1713.85,2.4288,1.38514,1.03714,0.64343,0.63268,0.64426,0.20283,2.45341,1.34847,1.07163,0.0098515,0.0098515,0.0098515
17,1820.72,2.42994,1.39284,1.05233,0.80256,0.77284,0.75165,0.23369,2.38528,1.12754,1.05224,0.0098416,0.0098416,0.0098416
18,1927.49,2.42202,1.40171,1.04112,0.67132,0.63951,0.65917,0.19207,2.52916,1.20174,1.10138,0.0098317,0.0098317,0.0098317
19,2034.78,2.42853,1.33034,1.03829,0.80368,0.68735,0.74928,0.22227,2.44561,1.166,1.07092,0.0098218,0.0098218,0.0098218
20,2142.33,2.4154,1.36296,1.05259,0.72838,0.67407,0.65889,0.20054,2.38514,1.17184,1.05011,0.0098119,0.0098119,0.0098119
21,2249.04,2.39869,1.33737,1.03914,0.66565,0.64198,0.6526,0.18767,2.39312,1.23772,1.0501,0.009802,0.009802,0.009802
22,2354.48,2.34909,1.2847,1.01838,0.42444,0.72099,0.42995,0.13174,2.53626,1.36827,1.08627,0.0097921,0.0097921,0.0097921
23,2460.09,2.40748,1.28508,1.02793,0.46021,0.6642,0.50735,0.14087,2.53371,1.39616,1.08399,0.0097822,0.0097822,0.0097822
24,2565.51,2.37637,1.31974,1.02878,0.65831,0.69877,0.63011,0.19397,2.40117,1.20521,1.05816,0.0097723,0.0097723,0.0097723
25,2670.83,2.38493,1.33325,1.027,0.63329,0.60494,0.59252,0.17065,2.47503,1.28197,1.07387,0.0097624,0.0097624,0.0097624
26,2776.41,2.33464,1.25681,1.02625,0.86575,0.80988,0.84707,0.27719,2.35168,1.04211,1.04786,0.0097525,0.0097525,0.0097525
27,2881.71,2.35242,1.2883,1.02684,0.64354,0.59259,0.61189,0.17736,2.42869,1.27505,1.05361,0.0097426,0.0097426,0.0097426
28,2987.41,2.34926,1.31127,1.02359,0.63386,0.61235,0.57628,0.175,2.43111,1.28845,1.06203,0.0097327,0.0097327,0.0097327
29,3093,2.32007,1.26941,1.01817,0.66862,0.66914,0.61341,0.1783,2.42401,1.21494,1.06199,0.0097228,0.0097228,0.0097228
30,3198.09,2.33237,1.28304,1.02066,0.47057,0.54815,0.4424,0.12721,2.64459,1.42829,1.11298,0.0097129,0.0097129,0.0097129
31,3303.11,2.35764,1.2643,1.01957,0.72277,0.66305,0.69553,0.21898,2.37877,1.17894,1.05835,0.009703,0.009703,0.009703
32,3408.23,2.34123,1.2531,1.02507,0.83221,0.75062,0.77796,0.24114,2.44867,1.1197,1.07265,0.0096931,0.0096931,0.0096931
33,3513.82,2.30865,1.22632,1.01505,0.75044,0.72346,0.72823,0.22675,2.34789,1.15349,1.0561,0.0096832,0.0096832,0.0096832
34,3619.53,2.31827,1.22956,1.01903,0.73555,0.67306,0.68653,0.20483,2.44549,1.18254,1.06009,0.0096733,0.0096733,0.0096733
35,3724.74,2.32384,1.22044,1.01641,0.73958,0.72226,0.6934,0.20541,2.41223,1.16495,1.06031,0.0096634,0.0096634,0.0096634
36,3830.04,2.31975,1.2222,1.01588,0.64238,0.62535,0.57214,0.16548,2.46996,1.27163,1.06673,0.0096535,0.0096535,0.0096535
37,3935.38,2.31814,1.27527,1.01768,0.62028,0.59291,0.5345,0.16092,2.44361,1.28477,1.05679,0.0096436,0.0096436,0.0096436
38,4040.74,2.29138,1.21714,1.01898,0.67836,0.60741,0.58679,0.1782,2.44327,1.23727,1.06779,0.0096337,0.0096337,0.0096337
39,4146.25,2.31061,1.24142,1.02642,0.55279,0.61235,0.5485,0.1498,2.5633,1.33267,1.09262,0.0096238,0.0096238,0.0096238
40,4251.72,2.29874,1.2391,1.0187,0.70164,0.66173,0.67383,0.20096,2.36379,1.19607,1.05317,0.0096139,0.0096139,0.0096139
41,4357.17,2.29254,1.22774,1.01904,0.76889,0.73086,0.71298,0.22562,2.36348,1.14352,1.04515,0.009604,0.009604,0.009604
42,4462.58,2.30854,1.24108,1.01846,0.75754,0.72517,0.67864,0.19674,2.47434,1.17802,1.06978,0.0095941,0.0095941,0.0095941
43,4568.09,2.31717,1.22377,1.02017,0.71136,0.68763,0.62248,0.18914,2.36461,1.20595,1.053,0.0095842,0.0095842,0.0095842
44,4673.66,2.27186,1.20875,1.00253,0.60554,0.65953,0.5809,0.17488,2.45574,1.2429,1.06424,0.0095743,0.0095743,0.0095743
45,4778.83,2.23996,1.19938,1.01399,0.70417,0.6465,0.63421,0.18278,2.41982,1.22509,1.0621,0.0095644,0.0095644,0.0095644
46,4884.26,2.29095,1.22717,1.01385,0.66916,0.67422,0.63908,0.19133,2.3829,1.19311,1.05249,0.0095545,0.0095545,0.0095545
47,4989.79,2.22158,1.21282,0.99598,0.79448,0.77316,0.76036,0.23108,2.3429,1.04794,1.04484,0.0095446,0.0095446,0.0095446
